Scotland's Census 2022 - National Records of Scotland
Table UV202 - National Identity
All people

,"All people","Scottish identity only","British identity only","Scottish and British identities only","Scottish and any other identities","English identity only","Any other combination of UK identities (UK only)","Other identity only (1)","Other identity and at least one UK identity"
"S00135307",144,100,23,3,4,3,3,10,-
"S00135308",65,40,6,8,-,6,1,7,-
"S00135309",156,107,26,16,1,1,-,6,-
"S00135310",153,107,15,17,-,-,-,11,-
"S00135311",151,99,20,11,4,4,2,12,-
"S00135312",187,121,23,26,2,1,-,15,1
"S00135313",181,148,16,10,2,2,1,-,1
"S00135314",173,123,12,18,1,1,7,12,1
"S00135315",108,83,10,2,2,5,-,7,-
"S00135316",130,72,27,13,-,-,1,17,-
"S00135317",156,112,11,14,2,3,2,12,-
"S00135318",85,60,10,6,2,-,2,6,-
"S00135319",141,105,9,14,3,-,-,9,-
"S00135320",127,99,6,6,3,3,-,9,-
"S00135321",84,70,4,2,-,2,-,4,-
"S00135322",151,96,22,13,5,4,-,14,-
"S00135323",108,83,18,10,-,2,-,2,-
"S00135324",60,46,6,-,-,1,2,8,-
"S00135325",77,52,9,9,-,5,-,-,-
"S00135326",84,62,10,5,-,1,-,4,-
"S00135327",95,74,12,5,-,-,3,1,-
"S00135328",117,83,12,10,-,1,1,11,1
"S00135329",123,87,11,12,-,4,2,12,-
"S00135330",105,83,6,4,1,1,1,8,-
"S00135331",66,50,11,1,-,-,-,6,-
"S00135332",93,67,10,10,3,2,1,-,-
"S00135333",104,64,6,6,10,2,2,12,-
"S00135334",74,51,10,2,2,1,1,5,-
"S00135335",123,83,12,6,4,2,-,17,-
"S00135336",78,53,12,10,4,1,-,1,-
"S00135337",142,102,25,9,5,1,-,4,-
"S00135338",145,108,13,14,-,1,-,8,-
"S00135339",140,113,11,-,3,-,1,11,-
"S00135340",129,86,14,9,2,4,1,11,-
"S00135341",94,76,3,6,4,-,-,5,-
"S00135342",90,70,8,7,1,-,1,1,-
"S00135343",172,113,20,23,2,1,5,10,2
"S00135344",118,82,10,15,1,3,-,6,-
"S00135345",165,101,12,17,10,3,2,24,-
"S00135346",136,94,18,15,-,-,1,5,-
"S00135347",91,61,14,13,-,2,-,1,-
"S00135348",130,94,11,15,3,-,1,6,-
"S00135349",127,93,19,8,2,4,1,3,-
"S00135350",131,71,16,21,2,7,3,12,-
"S00135351",224,136,20,44,4,3,2,10,3
"S00135352",161,91,27,22,-,2,4,12,3
"S00135353",206,145,35,8,6,4,-,10,2
"S00135354",105,71,8,12,1,-,-,8,4
"S00135355",124,79,12,13,2,4,1,9,5
"S00135356",126,89,7,3,2,5,1,15,-
"S00135357",228,132,40,31,6,6,2,8,-
"S00135358",137,72,26,7,4,1,3,17,5
"S00135359",123,80,22,15,2,1,1,3,-
"S00135360",129,72,26,8,2,8,-,7,-
"S00135361",117,72,25,15,2,-,-,3,-
"S00135362",132,81,20,22,3,-,-,7,-
"S00135363",174,108,16,18,10,-,-,17,-
"S00135364",165,105,20,24,1,3,-,8,-
"S00135365",119,74,16,11,-,4,2,13,4
"S00135366",112,60,22,11,3,1,1,1,6
"S00135367",82,63,4,9,-,-,1,2,-
"S00135368",131,95,11,7,3,3,4,8,1
"S00135369",128,88,21,6,4,3,-,6,-
"S00135370",72,44,12,5,2,2,-,3,-
"S00135371",149,116,18,12,-,-,1,3,-
"S00135372",152,98,21,8,4,2,8,7,5
"S00135373",226,149,29,34,3,3,3,6,-
"S00135374",141,108,7,4,3,2,-,11,1
"S00135375",98,60,8,14,4,1,-,10,1
"S00135376",75,40,15,9,1,5,2,2,-
"S00135377",119,66,19,16,5,1,3,8,-
"S00135378",127,74,17,8,4,-,-,15,7
"S00135379",60,33,14,3,5,1,1,3,-
"S00135380",132,81,18,26,-,4,2,2,-
"S00135381",133,80,14,7,2,5,-,21,-
"S00135382",101,77,8,10,2,-,-,5,-
"S00135383",153,51,30,25,12,11,1,19,3
"S00135384",61,42,11,2,4,-,-,1,1
"S00135385",90,57,15,5,1,2,-,7,1
"S00135386",113,91,11,9,-,1,1,-,-
"S00135387",171,113,27,23,3,1,-,-,-
"S00135388",200,112,31,23,13,1,1,17,8
"S00135389",132,87,23,10,4,-,-,4,2
"S00135390",85,52,22,12,-,1,1,2,-
"S00135391",203,137,21,18,9,-,-,13,4
"S00135392",70,50,10,6,-,1,-,2,-
"S00135393",207,151,11,9,7,6,1,21,-
"S00135394",152,94,28,22,-,-,-,6,1
"S00135395",79,48,8,16,2,-,-,4,-
"S00135396",133,107,4,10,4,6,2,-,-
"S00135397",121,68,12,21,7,2,4,10,-
"S00135398",129,78,16,12,1,2,-,14,1
"S00135399",243,185,26,8,4,1,1,12,3
"S00135400",162,109,24,17,3,4,-,8,1
"S00135401",99,70,17,11,-,1,-,2,-
"S00135402",80,56,10,8,-,1,1,5,-
"S00135403",131,98,9,8,10,2,-,4,-
"S00135404",86,66,8,4,-,1,-,5,-
"S00135405",188,125,28,22,5,4,2,1,1
"S00135406",172,129,16,14,5,1,1,7,2
"S00135407",153,102,25,12,2,4,-,6,2
"S00135408",152,109,10,19,3,2,3,3,3
"S00135409",70,51,4,8,4,1,1,1,-
"S00135410",111,74,16,6,3,5,1,3,1
"S00135411",183,123,24,11,4,2,1,13,5
"S00135412",113,82,22,7,-,1,1,-,-
"S00135413",134,82,25,20,-,7,-,3,-
"S00135414",89,65,17,6,1,1,-,1,1
"S00135415",104,74,16,3,-,2,1,8,-
"S00135416",199,118,32,25,2,3,3,13,3
"S00135417",107,77,14,9,-,4,-,-,3
"S00135418",178,113,30,5,5,6,2,18,-
"S00135419",77,52,10,11,1,2,-,2,-
"S00135420",142,90,18,17,3,-,2,13,2
"S00135421",116,80,12,8,-,3,-,11,-
"S00135422",109,71,14,7,7,1,-,9,-
"S00135423",190,106,46,26,1,4,1,6,-
"S00135424",115,82,23,5,1,3,-,2,-
"S00135425",116,86,12,8,-,3,2,3,-
"S00135426",141,100,13,13,3,4,-,4,-
"S00135427",126,83,21,17,-,-,-,2,-
"S00135428",75,49,11,10,3,-,2,2,-
"S00135429",85,39,15,8,-,4,-,16,-
"S00135430",113,62,28,9,3,-,-,7,4
"S00135431",109,73,17,4,-,1,-,10,-
"S00135432",117,79,11,14,-,-,-,8,-
"S00135433",128,94,12,14,-,1,1,6,1
"S00135434",111,85,11,9,-,-,2,-,-
"S00135435",77,58,8,5,-,-,-,-,-
"S00135436",109,67,5,20,-,6,4,7,1
"S00135437",127,75,18,17,4,-,1,10,2
"S00135438",82,48,13,5,6,-,-,10,-
"S00135439",92,60,8,14,2,-,6,2,-
"S00135440",131,82,18,16,2,1,-,5,-
"S00135441",127,96,19,16,-,-,1,2,-
"S00135442",67,55,5,5,-,-,-,1,1
"S00135443",99,61,16,8,-,-,2,11,1
"S00135444",99,48,22,18,5,1,1,3,-
"S00135445",141,101,19,12,3,-,-,4,-
"S00135446",159,100,19,30,1,1,2,9,-
"S00135447",137,81,23,12,2,9,-,12,-
"S00135448",170,102,23,26,4,5,2,9,1
"S00135449",98,88,7,4,-,-,-,-,-
"S00135450",92,73,10,9,-,-,-,-,-
"S00135451",70,43,6,11,2,1,1,4,4
"S00135452",64,53,7,5,1,-,-,-,-
"S00135453",110,69,15,8,1,1,-,13,-
"S00135454",123,71,22,8,5,3,1,9,-
"S00135455",106,56,25,22,-,5,-,5,-
"S00135456",89,68,11,2,2,-,1,5,-
"S00135457",69,45,11,9,-,-,-,-,-
"S00135458",79,55,7,9,-,2,-,7,-
"S00135459",121,98,12,3,2,1,1,3,-
"S00135460",121,66,6,19,16,3,5,8,-
"S00135461",135,81,15,13,3,1,4,10,3
"S00135462",159,109,24,10,3,3,-,6,3
"S00135463",149,111,14,13,6,2,1,4,-
"S00135464",109,75,15,9,-,-,-,3,-
"S00135465",106,82,17,6,1,-,-,-,-
"S00135466",101,75,18,6,-,2,1,2,-
"S00135467",95,65,5,14,1,2,2,7,-
"S00135468",69,50,8,5,1,1,-,4,-
"S00135469",121,83,10,19,-,2,1,4,-
"S00135470",137,81,24,27,4,-,-,1,-
"S00135471",154,123,12,4,3,-,-,9,-
"S00135472",148,106,16,16,4,3,1,5,-
"S00135473",128,87,23,10,1,3,-,2,1
"S00135474",122,70,12,16,-,2,2,15,-
"S00135475",102,79,6,5,4,3,1,1,1
"S00135476",108,78,8,14,-,-,-,7,-
"S00135477",120,66,25,15,-,-,-,10,-
"S00135478",95,82,8,9,-,2,-,-,-
"S00135479",125,94,18,12,1,-,-,-,-
"S00135480",132,74,31,16,2,-,2,13,-
"S00135481",132,87,25,15,1,-,-,2,-
"S00135482",83,45,12,15,-,2,-,10,3
"S00135483",118,83,14,11,2,2,-,6,-
"S00135484",82,52,14,10,-,1,2,4,-
"S00135485",163,111,20,14,2,-,-,12,-
"S00135486",115,71,11,19,2,9,1,5,-
"S00135487",160,94,26,19,-,7,6,3,-
"S00135488",118,87,11,6,2,-,-,4,-
"S00135489",144,111,11,7,5,2,2,9,-
"S00135490",131,87,14,20,3,-,-,7,-
"S00135491",130,50,15,15,12,5,1,30,-
"S00135492",130,75,26,16,3,1,1,12,-
"S00135493",166,125,11,6,6,4,2,12,-
"S00135494",98,54,12,26,3,2,-,2,-
"S00135495",110,56,25,14,-,1,1,10,2
"S00135496",105,69,17,16,4,-,2,1,-
"S00135497",236,135,52,32,1,9,2,6,-
"S00135498",150,57,20,7,4,-,6,48,11
"S00135499",129,90,9,16,2,1,-,9,-
"S00135500",120,78,21,2,4,2,-,15,1
"S00135501",136,83,23,24,1,5,-,2,-
"S00135502",133,63,18,5,4,2,4,27,-
"S00135503",86,55,16,9,3,-,-,-,-
"S00135504",141,112,10,10,3,2,-,1,-
"S00135505",167,82,19,33,11,3,1,15,3
"S00135506",90,58,20,10,-,1,1,-,-
"S00135507",183,109,35,10,7,1,-,18,4
"S00135508",67,39,9,10,3,-,1,8,-
"S00135509",125,85,15,14,1,1,-,9,-
"S00135510",111,86,10,11,-,2,-,-,-
"S00135511",120,93,8,10,-,3,3,-,1
"S00135512",120,81,15,14,3,3,1,5,-
"S00135513",111,78,9,9,3,4,1,10,-
"S00135514",113,80,10,11,1,-,-,10,-
"S00135515",167,110,13,22,4,4,2,14,-
"S00135516",152,108,13,9,3,1,1,17,-
"S00135517",113,71,15,6,2,1,1,17,-
"S00135518",83,64,8,6,2,1,-,3,-
"S00135519",143,105,25,6,2,4,-,1,-
"S00135520",145,83,31,16,-,3,-,14,-
"S00135521",118,67,17,10,1,3,2,21,1
"S00135522",92,62,10,4,2,-,2,10,-
"S00135523",71,45,5,15,-,1,-,2,-
"S00135524",111,78,12,10,-,4,-,4,-
"S00135525",117,70,13,16,5,2,-,11,-
"S00135526",106,84,7,5,-,-,-,9,-
"S00135527",72,58,3,5,-,2,-,6,-
"S00135528",165,130,12,17,1,-,-,8,-
"S00135529",139,85,17,16,2,5,3,6,-
"S00135530",87,70,11,2,-,2,-,2,-
"S00135531",99,65,15,11,-,1,-,8,1
"S00135532",103,66,13,8,3,-,1,8,3
"S00135533",131,80,15,17,4,1,2,14,-
"S00135534",112,63,24,12,8,-,-,4,-
"S00135535",234,165,31,10,2,6,2,16,-
"S00135536",191,115,30,28,6,2,1,9,-
"S00135537",146,95,22,18,3,1,2,8,-
"S00135538",91,51,24,12,-,-,2,2,-
"S00135539",84,71,7,2,-,3,-,3,-
"S00135540",143,89,27,11,-,1,1,14,1
"S00135541",78,47,12,13,-,-,3,2,-
"S00135542",182,102,23,10,14,1,-,33,-
"S00135543",180,101,27,24,4,1,-,24,-
"S00135544",99,73,18,5,2,-,-,2,-
"S00135545",132,93,17,12,8,-,2,1,-
"S00135546",88,71,4,8,-,2,-,4,-
"S00135547",188,124,16,22,3,-,-,18,-
"S00135548",88,72,5,4,1,2,4,2,-
"S00135549",64,46,10,2,1,-,-,-,1
"S00135550",123,90,10,9,3,-,-,8,-
"S00135551",127,83,11,15,4,2,1,11,-
"S00135552",133,88,12,4,4,1,-,18,5
"S00135553",207,138,38,16,1,6,1,6,2
"S00135554",86,71,7,4,-,-,1,3,-
"S00135555",166,119,15,19,5,2,1,7,-
"S00135556",101,74,10,10,1,4,-,1,-
"S00135557",91,52,7,6,5,-,-,20,-
"S00135558",150,103,16,18,3,3,-,7,2
"S00135559",105,72,14,6,4,-,1,9,-
"S00135560",107,73,10,12,1,-,3,7,-
"S00135561",94,72,2,5,3,1,1,10,1
"S00135562",92,67,6,12,-,4,-,3,-
"S00135563",61,35,4,5,3,-,1,11,-
"S00135564",104,66,26,8,-,1,-,2,1
"S00135565",71,43,16,6,-,-,1,2,-
"S00135566",100,76,11,6,4,1,-,-,-
"S00135567",126,96,10,7,-,-,5,13,-
"S00135568",155,118,14,16,5,-,-,7,-
"S00135569",104,79,7,10,4,1,-,3,-
"S00135570",111,75,20,8,1,1,4,8,-
"S00135571",106,69,20,5,1,2,-,12,1
"S00135572",122,95,5,11,2,-,1,6,1
"S00135573",107,91,11,-,-,1,-,6,-
"S00135574",99,74,9,1,2,-,1,11,-
"S00135575",147,101,17,10,-,7,2,13,-
"S00135576",128,99,8,11,4,-,1,3,-
"S00135577",129,75,15,5,4,6,-,26,1
"S00135578",116,85,18,9,1,2,1,3,-
"S00135579",88,47,15,13,4,3,2,3,3
"S00135580",140,103,15,8,4,-,1,7,-
"S00135581",129,73,22,9,1,6,6,7,4
"S00135582",84,55,13,6,3,-,-,4,-
"S00135583",139,98,13,5,4,6,-,14,-
"S00135584",127,108,7,3,5,-,-,6,-
"S00135585",114,71,20,12,2,-,-,9,-
"S00135586",119,73,15,15,-,2,-,11,-
"S00135587",72,55,13,1,-,1,-,3,-
"S00135588",87,44,18,10,-,-,1,15,-
"S00135589",85,55,18,2,2,1,3,6,2
"S00135590",88,52,18,5,2,2,-,5,2
"S00135591",81,49,10,6,7,1,-,8,-
"S00135592",116,90,14,15,-,1,-,-,-
"S00135593",91,54,16,13,2,-,2,2,-
"S00135594",100,69,8,7,5,2,-,7,-
"S00135595",150,113,13,10,5,4,4,8,-
"S00135596",207,129,21,25,3,4,3,22,-
"S00135597",134,95,9,11,-,5,1,13,-
"S00135598",91,49,11,21,1,2,2,5,-
"S00135599",129,83,16,3,7,3,1,22,-
"S00135600",60,40,8,5,5,-,-,2,-
"S00135601",141,81,26,12,5,1,-,9,2
"S00135602",126,58,14,12,7,5,-,26,2
"S00135603",78,54,8,15,-,2,1,2,-
"S00135604",84,53,6,10,-,-,-,17,-
"S00135605",82,60,10,5,-,2,-,6,-
"S00135606",277,178,34,27,18,9,3,13,1
"S00135607",1720,642,146,153,123,88,39,501,24
"S00135608",98,65,8,7,1,-,-,12,-
"S00135609",108,59,12,6,4,-,5,21,1
"S00135610",157,123,7,13,1,2,1,8,-
"S00135611",90,73,5,10,1,-,-,2,-
"S00135612",156,90,24,13,10,4,2,12,3
"S00135613",121,68,25,7,5,1,-,17,-
"S00135614",111,66,19,17,2,2,-,4,1
"S00135615",167,101,26,12,4,3,4,18,-
"S00135616",73,40,11,5,2,1,-,11,-
"S00135617",108,51,10,14,13,2,4,11,-
"S00135618",76,43,16,8,2,3,-,2,-
"S00135619",62,37,8,2,4,2,3,4,-
"S00135620",131,104,1,10,2,2,-,12,-
"S00135621",135,84,10,15,5,-,2,25,-
"S00135622",91,43,16,14,-,-,-,19,1
"S00135623",129,93,22,5,-,2,-,8,-
"S00135624",94,68,15,-,2,-,-,12,-
"S00135625",132,57,33,20,6,-,2,15,-
"S00135626",66,25,18,3,2,1,-,12,-
"S00135627",134,102,5,16,7,-,-,7,1
"S00135628",155,105,16,9,-,4,2,19,-
"S00135629",168,94,25,6,3,-,-,37,-
"S00135630",114,91,7,7,-,-,-,11,-
"S00135631",166,126,12,8,5,7,-,8,-
"S00135632",167,72,17,6,2,7,1,61,-
"S00135633",66,39,14,6,-,1,-,8,-
"S00135634",76,54,8,1,2,2,2,7,-
"S00135635",120,76,13,6,7,3,3,15,1
"S00135636",103,58,5,16,3,5,2,14,-
"S00135637",129,80,13,12,-,2,-,22,-
"S00135638",77,39,6,11,2,-,-,18,-
"S00135639",71,48,8,3,3,1,-,7,-
"S00135640",127,108,5,8,-,-,-,2,-
"S00135641",93,76,2,7,-,-,1,4,-
"S00135642",186,100,20,6,11,5,1,37,1
"S00135643",95,56,11,4,6,1,1,16,-
"S00135644",74,50,7,11,-,-,-,8,-
"S00135645",82,56,14,7,-,1,-,4,-
"S00135646",73,55,9,6,-,-,-,3,-
"S00135647",151,119,10,6,3,3,1,9,-
"S00135648",117,41,4,-,8,3,-,57,2
"S00135649",90,48,4,3,-,1,-,31,2
"S00135650",110,61,7,8,2,2,-,30,-
"S00135651",115,78,12,15,1,1,1,5,1
"S00135652",87,55,14,12,-,1,-,4,-
"S00135653",87,48,7,1,3,6,2,16,5
"S00135654",73,36,8,2,1,1,-,26,-
"S00135655",105,65,16,8,4,-,1,17,-
"S00135656",105,39,9,4,5,2,-,47,-
"S00135657",121,80,5,-,5,1,1,28,-
"S00135658",90,55,11,2,2,1,2,15,-
"S00135659",135,48,15,4,7,4,2,53,1
"S00135660",112,51,13,8,2,-,2,34,2
"S00135661",66,46,4,3,3,-,-,4,2
"S00135662",119,63,20,9,-,1,4,18,-
"S00135663",115,82,5,8,3,-,-,11,2
"S00135664",174,82,22,5,8,3,-,51,3
"S00135665",102,69,12,3,2,1,-,15,-
"S00135666",87,68,4,5,4,2,-,1,2
"S00135667",165,109,14,7,10,-,-,27,-
"S00135668",138,65,13,8,7,2,3,37,2
"S00135669",137,81,12,1,4,1,-,40,3
"S00135670",157,95,8,2,-,-,1,47,3
"S00135671",85,60,8,12,-,4,-,2,1
"S00135672",103,55,7,6,4,3,1,27,-
"S00135673",87,65,7,2,-,4,4,5,-
"S00135674",96,58,15,4,4,-,-,16,2
"S00135675",144,93,23,4,1,2,-,17,-
"S00135676",73,41,8,9,8,-,-,8,-
"S00135677",76,48,13,1,-,-,1,15,-
"S00135678",104,60,17,3,6,1,-,17,1
"S00135679",77,30,25,2,3,4,4,9,1
"S00135680",114,85,9,3,2,3,-,12,-
"S00135681",120,64,13,4,13,2,-,24,-
"S00135682",87,70,8,8,-,-,-,3,-
"S00135683",101,41,12,12,5,-,-,31,-
"S00135684",70,39,4,2,5,-,3,14,1
"S00135685",152,102,10,13,2,6,-,14,2
"S00135686",103,77,11,2,-,-,-,11,-
"S00135687",119,59,14,6,6,3,3,26,-
"S00135688",121,96,21,9,-,-,1,1,-
"S00135689",97,50,-,1,8,-,-,34,-
"S00135690",120,81,9,18,1,4,-,9,-
"S00135691",120,54,18,2,8,2,-,38,4
"S00135692",72,46,4,1,5,-,-,17,-
"S00135693",108,74,5,-,4,-,-,29,-
"S00135694",90,64,10,7,3,3,-,3,-
"S00135695",75,49,10,4,2,-,4,8,-
"S00135696",56,23,6,9,8,2,1,11,1
"S00135697",121,59,11,17,1,-,-,31,-
"S00135698",139,86,5,1,5,3,1,38,4
"S00135699",152,101,9,9,3,2,-,26,2
"S00135700",66,34,3,2,4,2,-,18,-
"S00135701",97,49,16,9,3,1,-,21,-
"S00135702",104,92,7,5,2,2,-,1,-
"S00135703",68,41,3,5,-,2,-,16,-
"S00135704",62,41,7,5,-,-,-,9,-
"S00135705",100,51,4,3,3,3,-,34,-
"S00135706",149,93,8,8,7,1,-,33,1
"S00135707",65,45,3,5,1,5,-,9,-
"S00135708",125,63,17,7,8,2,1,27,-
"S00135709",122,75,6,2,4,1,-,34,-
"S00135710",70,42,6,-,4,3,2,10,-
"S00135711",90,42,3,8,6,-,3,25,-
"S00135712",135,77,4,1,7,1,5,41,-
"S00135713",85,49,7,5,2,2,-,22,-
"S00135714",120,83,7,8,1,5,-,19,-
"S00135715",117,68,18,7,4,1,2,15,-
"S00135716",121,75,6,5,4,3,1,27,-
"S00135717",108,59,10,5,3,2,6,24,-
"S00135718",71,55,-,6,-,-,-,8,1
"S00135719",183,105,24,6,1,2,-,48,-
"S00135720",204,151,13,10,6,-,2,19,2
"S00135721",161,119,8,4,9,1,3,18,-
"S00135722",75,33,7,-,-,10,-,25,1
"S00135723",77,48,8,2,3,-,-,17,-
"S00135724",88,64,8,3,5,-,-,5,-
"S00135725",128,71,18,9,-,1,-,27,1
"S00135726",169,125,8,4,4,-,-,29,3
"S00135727",135,39,13,16,15,4,2,53,-
"S00135728",100,70,9,1,2,2,-,10,-
"S00135729",96,58,13,5,8,5,1,8,-
"S00135730",107,66,12,11,6,4,1,12,-
"S00135731",85,67,5,8,-,-,-,1,-
"S00135732",98,57,13,16,4,-,1,11,-
"S00135733",84,50,2,-,6,1,-,25,1
"S00135734",192,84,19,8,4,3,7,63,3
"S00135735",102,55,18,9,4,-,1,15,-
"S00135736",81,41,13,7,2,1,-,10,1
"S00135737",89,36,4,-,1,2,4,44,-
"S00135738",185,148,9,5,4,5,-,8,-
"S00135739",120,57,8,7,4,-,-,47,1
"S00135740",98,51,15,10,1,2,-,19,-
"S00135741",69,53,3,6,-,3,-,2,-
"S00135742",99,63,5,10,6,1,4,12,-
"S00135743",100,61,-,4,-,1,3,29,-
"S00135744",98,69,-,7,1,-,1,20,-
"S00135745",116,75,16,10,1,1,2,12,-
"S00135746",61,48,5,5,3,1,-,-,-
"S00135747",90,73,2,-,1,-,-,12,1
"S00135748",121,76,14,8,4,1,2,17,-
"S00135749",63,37,14,-,2,2,-,9,-
"S00135750",101,55,12,10,3,2,1,17,-
"S00135751",120,57,20,6,3,1,3,30,-
"S00135752",92,35,6,1,4,1,-,38,-
"S00135753",97,51,6,2,5,2,-,29,-
"S00135754",119,87,2,4,3,2,-,19,-
"S00135755",166,44,-,8,21,1,1,90,2
"S00135756",86,54,8,4,7,3,1,12,-
"S00135757",111,58,5,11,11,1,3,23,-
"S00135758",108,83,3,7,5,3,-,8,-
"S00135759",83,66,-,6,4,1,-,8,-
"S00135760",72,33,5,1,-,-,-,29,2
"S00135761",114,77,4,3,4,1,-,27,2
"S00135762",110,63,2,3,2,3,5,30,1
"S00135763",86,60,11,4,-,1,1,8,-
"S00135764",103,71,3,5,2,2,-,15,1
"S00135765",141,59,12,-,9,1,-,65,2
"S00135766",103,52,16,5,6,6,-,22,-
"S00135767",137,98,3,7,3,1,-,20,1
"S00135768",218,141,9,20,10,9,-,24,-
"S00135769",130,92,17,11,-,4,-,6,-
"S00135770",111,50,6,2,11,1,-,35,-
"S00135771",124,63,5,1,2,2,-,50,-
"S00135772",185,144,6,13,1,1,-,19,-
"S00135773",171,109,7,3,1,4,3,42,-
"S00135774",78,49,6,7,5,-,2,9,-
"S00135775",189,128,-,8,4,1,1,42,-
"S00135776",96,38,12,13,3,1,1,22,3
"S00135777",159,131,7,5,-,5,1,7,-
"S00135778",75,48,3,-,-,5,-,17,-
"S00135779",110,71,9,4,7,-,-,18,-
"S00135780",105,45,2,2,-,2,2,53,-
"S00135781",134,81,18,5,9,1,-,23,-
"S00135782",96,65,13,4,2,-,-,11,-
"S00135783",158,74,8,8,10,2,-,51,4
"S00135784",89,80,-,2,-,1,-,6,-
"S00135785",66,32,4,1,4,-,-,23,1
"S00135786",162,117,20,-,-,6,-,19,-
"S00135787",60,30,7,2,2,-,1,18,-
"S00135788",105,84,3,4,3,1,-,9,1
"S00135789",101,76,17,1,2,1,-,8,-
"S00135790",115,67,10,3,-,-,3,28,-
"S00135791",165,77,10,5,3,6,-,56,5
"S00135792",102,53,7,8,9,-,-,27,2
"S00135793",99,41,12,1,11,4,2,22,-
"S00135794",151,91,27,20,2,-,3,4,3
"S00135795",92,60,1,4,2,3,1,19,-
"S00135796",107,64,11,11,-,2,1,19,1
"S00135797",211,61,22,14,8,5,-,104,-
"S00135798",77,44,17,1,2,1,2,11,2
"S00135799",201,153,16,3,10,3,1,12,-
"S00135800",109,59,11,8,14,1,-,21,-
"S00135801",78,61,9,2,2,-,-,5,-
"S00135802",84,51,4,-,-,1,1,26,-
"S00135803",102,73,7,6,4,3,-,11,-
"S00135804",109,89,7,2,-,2,-,6,-
"S00135805",73,28,12,3,7,4,-,21,-
"S00135806",128,101,13,2,1,-,-,11,-
"S00135807",104,43,6,2,7,1,-,41,3
"S00135808",121,50,12,4,3,4,1,48,-
"S00135809",101,70,9,6,-,3,-,15,-
"S00135810",129,73,27,18,5,-,-,7,-
"S00135811",182,113,9,10,6,1,-,42,-
"S00135812",117,59,15,3,10,3,1,29,-
"S00135813",113,64,4,-,1,-,-,38,4
"S00135814",71,42,2,2,4,2,2,18,-
"S00135815",70,37,7,5,-,1,-,16,1
"S00135816",106,74,7,10,-,1,-,12,1
"S00135817",122,89,8,1,1,-,-,24,-
"S00135818",102,59,5,7,4,1,-,24,-
"S00135819",116,88,6,1,5,2,-,13,-
"S00135820",190,114,12,3,8,2,2,47,3
"S00135821",77,44,10,6,4,2,-,8,-
"S00135822",141,79,13,5,3,3,1,32,-
"S00135823",182,100,15,10,-,-,-,55,-
"S00135824",187,150,15,6,3,-,-,9,5
"S00135825",107,73,6,1,8,1,-,17,1
"S00135826",100,65,4,-,-,-,-,30,2
"S00135827",71,52,1,4,1,1,-,10,-
"S00135828",139,97,11,4,4,-,1,21,1
"S00135829",85,50,13,3,2,1,-,16,-
"S00135830",68,37,4,2,3,5,-,16,1
"S00135831",115,90,3,2,4,1,1,14,-
"S00135832",171,62,11,5,17,6,-,68,-
"S00135833",118,84,7,1,2,2,-,18,2
"S00135834",104,53,11,16,7,4,2,16,-
"S00135835",155,78,14,6,12,3,-,42,-
"S00135836",110,91,3,-,5,2,-,13,-
"S00135837",143,106,9,6,1,2,-,12,4
"S00135838",164,44,29,19,14,5,3,48,4
"S00135839",266,114,25,27,15,7,10,66,2
"S00135840",166,97,19,9,8,2,-,36,-
"S00135841",62,42,8,6,-,1,1,4,-
"S00135842",86,41,9,12,9,1,-,16,-
"S00135843",80,56,11,1,1,1,-,11,-
"S00135844",69,53,4,3,-,2,-,7,-
"S00135845",79,63,4,5,6,-,-,2,-
"S00135846",113,63,17,13,4,1,1,17,-
"S00135847",218,82,23,17,7,15,4,71,3
"S00135848",119,96,7,7,-,-,-,9,-
"S00135849",68,43,6,1,2,4,1,14,1
"S00135850",87,50,23,6,2,2,1,8,-
"S00135851",126,112,3,-,-,1,-,6,-
"S00135852",71,34,10,-,-,1,-,23,2
"S00135853",78,61,6,6,-,-,-,3,-
"S00135854",75,49,13,7,1,1,-,3,-
"S00135855",94,61,10,1,-,5,1,17,-
"S00135856",64,41,6,-,-,3,2,14,-
"S00135857",62,24,10,12,5,2,-,10,-
"S00135858",64,38,7,6,-,1,-,12,-
"S00135859",75,43,9,7,4,-,-,15,-
"S00135860",139,104,4,1,-,-,-,30,-
"S00135861",101,72,15,10,1,2,-,-,1
"S00135862",84,54,8,5,2,-,-,11,-
"S00135863",95,77,7,1,-,-,-,10,-
"S00135864",90,33,16,11,3,-,-,26,-
"S00135865",94,67,10,4,3,-,-,9,-
"S00135866",106,25,24,7,11,-,-,37,4
"S00135867",104,63,13,6,4,1,2,12,3
"S00135868",118,55,14,16,6,3,-,18,2
"S00135869",77,52,7,7,-,1,-,10,-
"S00135870",74,27,13,9,3,2,1,22,1
"S00135871",185,60,26,8,17,6,-,67,-
"S00135872",92,71,6,7,2,1,-,8,-
"S00135873",119,79,14,1,4,-,-,19,-
"S00135874",118,56,22,5,-,3,2,33,-
"S00135875",131,98,9,4,1,6,-,12,-
"S00135876",107,92,2,2,-,2,-,10,2
"S00135877",160,129,9,4,-,2,1,16,-
"S00135878",156,57,38,15,9,4,2,32,-
"S00135879",86,61,7,5,3,1,-,11,-
"S00135880",190,59,22,9,8,7,4,76,3
"S00135881",118,86,1,6,2,-,-,22,-
"S00135882",107,70,14,1,2,6,2,9,-
"S00135883",75,47,6,7,5,1,1,9,1
"S00135884",71,61,4,2,-,-,-,4,-
